# code: ja
# key, value

# menu bar
file, 文件
new, 新建
open, 打开
open_recent, 最近打开的项目
clear, 清除
save, 保存
save_as, 另存为
export, 导出
exit, 退出
edit, 编辑
undo, 撤销
redo, 恢复
select_all, 全选
view, 视图
settings, 设置
window, 窗口
vsync, VSync
show_fps, FPS信息
debug, 调试
create_auto_save, 自动保存
help, 帮助
about, 关于

# dialogs
file_not_found, 文件未找到
file_not_found_msg1, 文件
file_not_found_msg2, 未找到
remove_recent_file_not_found, 你真的想要将其从近期打开的文件中移除吗？
yes, 是
no, 否
unsaved_changes, 未保存的更改
ask_save, 保存修改？
warn_unsaved, 未保存的更改都将丢失！
save_changes, 保存
discard_changes, 不保存
score_file, 谱面文件
error, 错误
error_load_score_file, 谱面读取时发生错误
error_load_music_file, 音频文件读取时发生错误
cancel, 取消
general, 常规
key_config, 按键设置
language, 语言
auto, 自动模式
auto_save, 自动保存
auto_save_enable, 自动保存已启用
auto_save_interval, 自动保存间隔(分钟)
auto_save_count, 最大自动保存文件
accent_color, 主题色
accent_color_help, 选择一个主题色并应用至全局，左下角的第一个方框为自定义颜色。
select_accent_color, 选择主题色
display_mode, 颜色格式
theme, 主题
base_theme, 主题色调
theme_light, 亮色
theme_dark, 暗色
custom_color, 自定义
timeline, 时间线
match_notes_size_to_timeline, 将按键大小与时间线宽度匹配
lane_width, 轨道宽度
notes_height, 按键高度
scrolling, 滚动
scroll_speed_normal, 滚动速度
scroll_speed_shift, 滚动速度 (Shift)
use_smooth_scroll, 使用平滑滚动
smooth_scroll_time, 平滑滚动时间
return_to_last_tick, 暂停时返回上一拍
cursor_auto_scroll, 自动滚动
cursor_auto_scroll_amount, 自动滚动量
background, 背景
background_image, 背景图
draw_background, 绘制背景图
background_brightnes, 背景亮度
lanes_opacity, 背景不透明度
video, 视频
vsync_enable, VSync
notes_se, 按键音效

# score editor
options, 选项
chart_properties, 谱面属性
notes_timeline, 时间线
select, 选择
tap, Tap按键
hold, Hold按键
hold_step, Hold节点
flick, Flick按键
critical, Critical按键
trace, Trace按键
guide, Guide按键
bpm, BPM
time_signature, 节拍
none, 无
default, 默认
left, 左
right, 右
normal, 正常
hidden, 隐藏
skip, 跳过
linear, 直线
ease_in, 加速
ease_out, 减速
delete, 删除
copy, 复制
cut, 剪切
paste, 粘贴
flip_paste, 粘贴时反转
flip, 反转
note_width, 按键宽度
shrink_down, 向前对齐
shrink_up, 向后对齐
connect_holds, 连接Hold
split_hold, 分离Hold
step_type, 节点类型
ease_type, 曲线类型
flick_type, Flick方向
hold_type, Hold类型
metadata, 元数据
title, 标题
designer, 谱面作者
artist, 艺术家
jacket, 封面
audio, 音频
music_file, 音频文件
music_offset, 音频偏移
volume_master, 应用音量
volume_bgm, BGM音量
volume_se, 音效音量
statistics, 统计数据
taps, Tap按键
flicks, Flick按键
holds, Hold按键
steps, Hold节点
traces, Trace按键
total, 总数
combo, Combo数
goto_measure, 移动至指定小节
division, 分小节
division_suffix, 分音符
custom, 自定义：
custom_division, 自定义小节
zoom, 缩放
show_step_outlines, 在Hold节点周围绘制一个方框
draw_waveform, 绘制音频波形图
edit_bpm, 编辑BPM
tick, 节拍
remove, 移除
edit_time_signature, 编辑节拍
measure, 小节
skill, 技能
increase_note_size, 放大按键
decrease_note_size, 缩小按键
hi_speed, HiSpeed
edit_hi_speed, 编辑HiSpeed
hi_speed_speed, HiSpeed速度
edit_skill, 编辑技能发动
edit_fever, 编辑FEVER发动
edit_none, 编辑
edit_event, 编辑事件

# preset manager
presets, 预设
no_presets, 你还没有设置预设呢...
name, 预设名
description, 预设描述
create_preset, 创建预设
search, 搜索
confirm, 确认

# commands
action, 命令
keys, 按键
add, 添加
cmd_key_listen, 等待输入
new_chart, 新建谱面
toggle_playback, 播放/暂停
cancel_paste, 取消粘贴
stop, 停止
previous_tick, 上一拍
next_tick, 下一拍
timeline_select, 时间线“选择”
timeline_tap, 时间线“Tap”
timeline_hold, 时间线“Hold”
timeline_hold_step, 时间线“Hold节点”
timeline_flick, 时间线“Flick”
timeline_critical, 时间线“Critical”
timeline_trace, 时间线“Trace”
timeline_guide, 时间线“Guide”
timeline_bpm, 时间线“BPM”
timeline_time_signature, 时间线“节拍”
timeline_hi_speed, 时间线“HiSpeed”
zoom_in, 放大
zoom_out, 缩小
